,MK,MKH,Kb,Ka,cont
ENSG00000281013,0,0,0,0,0
ENSG00000281750,0,0,0,0,0
ENSG00000280714,0,0,0,0,0
ENSG00000280705,0,0,0,0,0
ENSG00000281908,0,0,0,0,0
ENSG00000281004,0,0,0,0,0
ENSG00000280467,0,0,0,0,0
ENSG00000281757,0,0,0,0,0
ENSG00000280905,0,0,0,0,0
ENSG00000281387,0,0,0,0,0
ENSG00000281436,0,0,0,0,0
ENSG00000281897,0,0,0,0,0
ENSG00000281465,0,0,0,0,0
ENSG00000281478,0,0,0,0,0
ENSG00000202250,0,0,0,0,0
ENSG00000281053,0,0,0,0,0
ENSG00000281266,0,0,0,0,0
ENSG00000281402,0,1,0,0,0
MT-TF,396,485,509,774,679
MT-RNR1,1000400,1119075,1214380,1940734,1399281
MT-TV,0,1,0,0,2
MT-RNR2,10344852,9274118,12769011,17795895,12077584
MT-TL1,19,13,12,10,20
MT-ND1,18441,12373,19844,19569,14167
MT-TI,0,0,0,0,0
ENSG00000223795,0,0,0,0,0
MT-TQ,0,0,0,0,0
MT-TM,0,0,1,1,0
MT-ND2,10391,8374,9882,10405,8698
ENSG00000253735,0,0,0,0,0
MT-TW,0,2,0,0,3
ENSG00000259727,7,13,1,44,24
MT-TA,2,3,1,2,1
MT-TN,707,639,933,1311,1295
MT-TC,967,936,1281,1902,1706
MT-TY,452,246,398,514,353
MT-CO1,120728,127353,166200,257740,156771
MT-TS1,1,2,3,0,0
MT-TD,0,0,0,0,0
MT-CO2,71764,61691,98387,110673,84561
MT-TK,2,7,6,4,11
ENSG00000253334,0,5,1,6,4
RPS2P25,0,0,0,0,0
MT-ATP8,3373,3925,4593,6109,3972
ENSG00000225166,0,0,0,0,0
GAPDHP49,0,0,0,1,0
MT-ATP6,18786,24564,25446,32968,21651
ENSG00000249153,0,0,0,0,0
HNRNPA1P36,3,2,12,7,11
NUTM2G,35,43,54,83,57
ENSG00000261335,8,12,16,16,20
ENSG00000189229,0,0,0,0,0
ENSG00000276886,0,0,0,0,0
FTH1P7,10,18,15,7,14
MT-CO3,153175,139556,195142,237346,160488
CDK5PS,0,0,0,0,0
ENSG00000269374,19,18,11,23,24
MT-TG,0,0,0,0,1
MT-ND3,16756,10733,14402,16938,13805
ENSG00000276253,0,0,0,0,0
RPL13P6,4,1,6,0,1
MIR4271,0,0,0,0,0
MT-TR,0,0,0,0,0
FSCB,0,0,0,0,0
ENSG00000267250,0,0,0,0,1
ENSG00000267152,192,147,124,243,216
MT-ND4L,5227,4738,4789,4818,4089
ENSG00000280671,0,0,0,0,0
SNORD35B,0,0,0,0,0
MT-ND4,21818,25148,24496,26890,21410
SNORD102,0,0,0,0,0
MT-TH,0,0,0,0,0
MIR4670,0,0,0,0,0
MT-TS2,0,0,0,0,0
MT-TL2,0,0,0,0,0
ENSG00000233277,6,11,6,11,10
ENSG00000280544,1,0,1,1,0
C9orf131,17,5,15,22,10
MT-ND5,7837,13359,8778,17334,12509
ENSG00000275821,0,0,0,0,0
RN7SKP7,0,0,0,0,0
ENSG00000231836,0,0,0,0,0
RN7SKP56,4,2,0,0,4
MT-ND6,1093,1406,1049,2244,1709
RNA5SP113,0,0,0,0,0
MT-TE,11,13,9,26,20
RNA5SP54,0,0,0,0,0
ENSG00000279499,3,1,0,1,0
MT-CYB,15625,18841,21190,30299,17690
RN7SKP264,0,0,0,0,0
RN7SL259P,0,0,0,0,0
MT-TT,0,0,0,0,0
ENSG00000273009,0,0,0,0,0
RNA5SP413,0,0,0,0,0
MT-TP,2562,1598,2511,2196,2712
MIR6819,3,4,3,8,9
RNU4-79P,0,0,0,0,0
ENSG00000252830,0,0,0,0,0
ENSG00000207249,0,0,0,0,0
RNU5E-8P,0,0,0,0,0
SNORD45A,0,0,0,0,0
ENSG00000275283,0,0,0,0,0
ENSG00000278050,0,0,0,0,0
ENSG00000280496,0,0,0,0,0
ENSG00000266653,0,0,0,0,0
RNU6-728P,0,0,0,0,0
ENSG00000251861,0,0,0,0,0
RN7SKP252,0,0,0,0,0
ENSG00000206776,0,0,0,0,0
ENSG00000260701,0,0,0,0,0
