gene;gene_id
ENSG00000275100;ENSG00000275100
ENSG00000222586;ENSG00000222586
ENSG00000272659;ENSG00000272659
ENSG00000265042;ENSG00000265042
ENSG00000254967;ENSG00000254967
ENSG00000265324;ENSG00000265324
ENSG00000211562;ENSG00000211562
ENSG00000279252;ENSG00000279252
ENSG00000266543;ENSG00000266543
ENSG00000266547;ENSG00000266547
ENSG00000266355;ENSG00000266355
ENSG00000265461;ENSG00000265461
ENSG00000261550;ENSG00000261550
ENSG00000263827;ENSG00000263827
ENSG00000280950;ENSG00000280950
ENSG00000280954;ENSG00000280954
ENSG00000255322;ENSG00000255322
ENSG00000274555;ENSG00000274555
ENSG00000274550;ENSG00000274550
ENSG00000266671;ENSG00000266671
ENSG00000264899;ENSG00000264899
ENSG00000281070;ENSG00000281070
ENSG00000263985;ENSG00000263985
ENSG00000263980;ENSG00000263980
ENSG00000278185;ENSG00000278185
ENSG00000266912;ENSG00000266912
ENSG00000276305;ENSG00000276305
ENSG00000281685;ENSG00000281685
ENSG00000281684;ENSG00000281684
ENSG00000276236;ENSG00000276236
ENSG00000281681;ENSG00000281681
ENSG00000231865;ENSG00000231865
ENSG00000263475;ENSG00000263475
ENSG00000263470;ENSG00000263470
ENSG00000266429;ENSG00000266429
ENSG00000258882;ENSG00000258882
ENSG00000275849;ENSG00000275849
ENSG00000252817;ENSG00000252817
ENSG00000212101;ENSG00000212101
ENSG00000281551;ENSG00000281551
ENSG00000281600;ENSG00000281600
ENSG00000254761;ENSG00000254761
ENSG00000274366;ENSG00000274366
ENSG00000221087;ENSG00000221087
ENSG00000278350;ENSG00000278350
ENSG00000239373;ENSG00000239373
ENSG00000238604;ENSG00000238604
ENSG00000264135;ENSG00000264135
ENSG00000281443;ENSG00000281443
ENSG00000207491;ENSG00000207491
ENSG00000281445;ENSG00000281445
ENSG00000264671;ENSG00000264671
ENSG00000281444;ENSG00000281444
ENSG00000281350;ENSG00000281350
ENSG00000207895;ENSG00000207895
ENSG00000224956;ENSG00000224956
ENSG00000221473;ENSG00000221473
ENSG00000259264;ENSG00000259264
ENSG00000221299;ENSG00000221299
ENSG00000221297;ENSG00000221297
ENSG00000266621;ENSG00000266621
ENSG00000239160;ENSG00000239160
ENSG00000276108;ENSG00000276108
ENSG00000232372;ENSG00000232372
ENSG00000276924;ENSG00000276924
ENSG00000280605;ENSG00000280605
ENSG00000278509;ENSG00000278509
ENSG00000280567;ENSG00000280567
ENSG00000239353;ENSG00000239353
ENSG00000266044;ENSG00000266044
ENSG00000266047;ENSG00000266047
ENSG00000281488;ENSG00000281488
ENSG00000280747;ENSG00000280747
ENSG00000280746;ENSG00000280746
ENSG00000263473;ENSG00000263473
ENSG00000221344;ENSG00000221344
ENSG00000265679;ENSG00000265679
ENSG00000274426;ENSG00000274426
ENSG00000263539;ENSG00000263539
ENSG00000280458;ENSG00000280458
ENSG00000266239;ENSG00000266239
ENSG00000215946;ENSG00000215946
ENSG00000277201;ENSG00000277201
ENSG00000281201;ENSG00000281201
ENSG00000281108;ENSG00000281108
ENSG00000272511;ENSG00000272511
ENSG00000264062;ENSG00000264062
ENSG00000227116;ENSG00000227116
ENSG00000266269;ENSG00000266269
ENSG00000222894;ENSG00000222894
ENSG00000275149;ENSG00000275149
ENSG00000280391;ENSG00000280391
ENSG00000280644;ENSG00000280644
ENSG00000265736;ENSG00000265736
ENSG00000249911;ENSG00000249911
ENSG00000278820;ENSG00000278820
ENSG00000266825;ENSG00000266825
ENSG00000229729;ENSG00000229729
ENSG00000221535;ENSG00000221535
ENSG00000265216;ENSG00000265216
ENSG00000265212;ENSG00000265212
ENSG00000221392;ENSG00000221392
ENSG00000263759;ENSG00000263759
ENSG00000263365;ENSG00000263365
ENSG00000276621;ENSG00000276621
ENSG00000258838;ENSG00000258838
ENSG00000269227;ENSG00000269227
ENSG00000264855;ENSG00000264855
ENSG00000273774;ENSG00000273774
ENSG00000265087;ENSG00000265087
ENSG00000264134;ENSG00000264134
ENSG00000236198;ENSG00000236198
ENSG00000280834;ENSG00000280834
