gene;gene_id
ENSG00000267045;ENSG00000267045
ENSG00000274784;ENSG00000274784
ENSG00000248280;ENSG00000248280
ENSG00000250404;ENSG00000250404
ENSG00000264599;ENSG00000264599
ENSG00000265344;ENSG00000265344
ENSG00000264908;ENSG00000264908
ENSG00000279185;ENSG00000279185
ENSG00000281786;ENSG00000281786
ENSG00000252972;ENSG00000252972
ENSG00000265249;ENSG00000265249
ENSG00000266539;ENSG00000266539
ENSG00000277886;ENSG00000277886
ENSG00000280624;ENSG00000280624
ENSG00000264298;ENSG00000264298
ENSG00000266252;ENSG00000266252
ENSG00000258929;ENSG00000258929
ENSG00000265529;ENSG00000265529
ENSG00000264441;ENSG00000264441
ENSG00000278366;ENSG00000278366
ENSG00000264730;ENSG00000264730
ENSG00000263960;ENSG00000263960
ENSG00000273811;ENSG00000273811
ENSG00000221454;ENSG00000221454
ENSG00000265068;ENSG00000265068
ENSG00000265063;ENSG00000265063
ENSG00000281918;ENSG00000281918
ENSG00000264445;ENSG00000264445
ENSG00000280258;ENSG00000280258
ENSG00000257886;ENSG00000257886
ENSG00000277573;ENSG00000277573
ENSG00000266399;ENSG00000266399
ENSG00000281114;ENSG00000281114
ENSG00000225490;ENSG00000225490
ENSG00000276112;ENSG00000276112
ENSG00000264081;ENSG00000264081
ENSG00000278176;ENSG00000278176
ENSG00000276354;ENSG00000276354
ENSG00000264711;ENSG00000264711
ENSG00000276356;ENSG00000276356
ENSG00000235373;ENSG00000235373
ENSG00000265611;ENSG00000265611
ENSG00000276242;ENSG00000276242
ENSG00000278219;ENSG00000278219
ENSG00000222085;ENSG00000222085
ENSG00000267163;ENSG00000267163
ENSG00000263898;ENSG00000263898
ENSG00000263891;ENSG00000263891
ENSG00000223119;ENSG00000223119
ENSG00000274877;ENSG00000274877
ENSG00000280662;ENSG00000280662
ENSG00000281662;ENSG00000281662
ENSG00000221233;ENSG00000221233
ENSG00000278947;ENSG00000278947
ENSG00000225892;ENSG00000225892
ENSG00000274983;ENSG00000274983
ENSG00000275077;ENSG00000275077
ENSG00000223700;ENSG00000223700
ENSG00000276852;ENSG00000276852
ENSG00000238553;ENSG00000238553
ENSG00000265239;ENSG00000265239
ENSG00000222133;ENSG00000222133
ENSG00000263630;ENSG00000263630
ENSG00000216020;ENSG00000216020
ENSG00000211553;ENSG00000211553
ENSG00000232018;ENSG00000232018
ENSG00000238826;ENSG00000238826
ENSG00000238823;ENSG00000238823
ENSG00000273170;ENSG00000273170
ENSG00000274991;ENSG00000274991
ENSG00000274992;ENSG00000274992
ENSG00000226958;ENSG00000226958
ENSG00000264327;ENSG00000264327
ENSG00000251963;ENSG00000251963
ENSG00000232224;ENSG00000232224
ENSG00000277839;ENSG00000277839
ENSG00000263820;ENSG00000263820
ENSG00000273631;ENSG00000273631
ENSG00000222545;ENSG00000222545
ENSG00000266482;ENSG00000266482
ENSG00000212093;ENSG00000212093
ENSG00000263995;ENSG00000263995
ENSG00000263660;ENSG00000263660
ENSG00000221174;ENSG00000221174
ENSG00000281802;ENSG00000281802
ENSG00000279866;ENSG00000279866
ENSG00000274622;ENSG00000274622
ENSG00000274302;ENSG00000274302
ENSG00000276198;ENSG00000276198
ENSG00000273653;ENSG00000273653
ENSG00000275554;ENSG00000275554
ENSG00000231121;ENSG00000231121
ENSG00000221376;ENSG00000221376
ENSG00000273530;ENSG00000273530
ENSG00000273531;ENSG00000273531
ENSG00000264620;ENSG00000264620
ENSG00000238758;ENSG00000238758
ENSG00000281634;ENSG00000281634
ENSG00000281637;ENSG00000281637
ENSG00000212114;ENSG00000212114
ENSG00000266032;ENSG00000266032
ENSG00000222339;ENSG00000222339
ENSG00000223063;ENSG00000223063
ENSG00000277048;ENSG00000277048
ENSG00000269131;ENSG00000269131
ENSG00000281827;ENSG00000281827
ENSG00000280869;ENSG00000280869
ENSG00000265379;ENSG00000265379
ENSG00000274490;ENSG00000274490
ENSG00000221322;ENSG00000221322
ENSG00000266772;ENSG00000266772
ENSG00000266778;ENSG00000266778
ENSG00000222070;ENSG00000222070
ENSG00000216109;ENSG00000216109
ENSG00000276797;ENSG00000276797
ENSG00000276796;ENSG00000276796
ENSG00000281408;ENSG00000281408
ENSG00000221516;ENSG00000221516
ENSG00000265515;ENSG00000265515
ENSG00000265518;ENSG00000265518
ENSG00000266154;ENSG00000266154
ENSG00000250588;ENSG00000250588
ENSG00000239776;ENSG00000239776
ENSG00000263913;ENSG00000263913
ENSG00000221469;ENSG00000221469
ENSG00000221467;ENSG00000221467
ENSG00000280829;ENSG00000280829
ENSG00000221280;ENSG00000221280
ENSG00000266631;ENSG00000266631
ENSG00000266701;ENSG00000266701
ENSG00000277645;ENSG00000277645
ENSG00000281302;ENSG00000281302
ENSG00000281304;ENSG00000281304
ENSG00000278392;ENSG00000278392
ENSG00000235982;ENSG00000235982
ENSG00000238208;ENSG00000238208
ENSG00000266058;ENSG00000266058
ENSG00000281148;ENSG00000281148
ENSG00000281140;ENSG00000281140
ENSG00000281647;ENSG00000281647
ENSG00000221631;ENSG00000221631
ENSG00000281675;ENSG00000281675
ENSG00000230058;ENSG00000230058
ENSG00000281672;ENSG00000281672
ENSG00000204566;ENSG00000204566
ENSG00000264896;ENSG00000264896
ENSG00000281080;ENSG00000281080
ENSG00000280788;ENSG00000280788
ENSG00000265665;ENSG00000265665
ENSG00000276104;ENSG00000276104
ENSG00000263548;ENSG00000263548
ENSG00000263542;ENSG00000263542
ENSG00000216182;ENSG00000216182
ENSG00000261533;ENSG00000261533
ENSG00000264726;ENSG00000264726
ENSG00000275403;ENSG00000275403
ENSG00000221778;ENSG00000221778
ENSG00000221774;ENSG00000221774
ENSG00000281485;ENSG00000281485
ENSG00000244567;ENSG00000244567
ENSG00000240455;ENSG00000240455
ENSG00000279038;ENSG00000279038
ENSG00000274735;ENSG00000274735
ENSG00000242463;ENSG00000242463
ENSG00000265592;ENSG00000265592
ENSG00000264819;ENSG00000264819
ENSG00000222954;ENSG00000222954
ENSG00000240618;ENSG00000240618
ENSG00000281075;ENSG00000281075
ENSG00000274190;ENSG00000274190
ENSG00000281381;ENSG00000281381
ENSG00000280659;ENSG00000280659
ENSG00000279338;ENSG00000279338
ENSG00000277875;ENSG00000277875
ENSG00000276325;ENSG00000276325
ENSG00000248345;ENSG00000248345
ENSG00000273842;ENSG00000273842
ENSG00000173088;ENSG00000173088
ENSG00000280859;ENSG00000280859
ENSG00000261254;ENSG00000261254
ENSG00000221506;ENSG00000221506
ENSG00000281576;ENSG00000281576
ENSG00000265208;ENSG00000265208
ENSG00000278439;ENSG00000278439
ENSG00000265647;ENSG00000265647
ENSG00000278504;ENSG00000278504
ENSG00000216073;ENSG00000216073
