group;aneuploidy_score;heterogeneity_score
tumor_BT_S2;0,0653937225946464;0,632135619276546
oligodendrocyte;0,0193167689286120;0,185636176492369
oligodendrocyte precursor cell;0,0268168828786866;0,312054014250137
astrocyte;0,0250051776066040;0,263306720912706
tumor_BT_S1;0,0386404254870663;0,360607909431745
tumor_BT_S4;0,0487780016672528;0,452313878321644
tumor_BT_S6;0,0509542092088419;0,499648941065086
