group;aneuploidy_score;heterogeneity_score
Fibroblast;0,0182513933215280;0,220518891881306
tumor_HN26;0,0529057240636032;0,427476576933892
tumor_HN25;0,0284461874300800;0,235647529107338
tumor_HNSCC26;0,0509413888466349;0,426437642303150
tumor_HN28;0,0198946297846513;0,157224434135710
Endothelial;0,0171044408784855;0,201631165221040
tumor_HNSCC25;0,0297340690939813;0,259272760359439
tumor_HNSCC18;0,0432564009443525;0,369800684272686
tumor_HNSCC22;0,0363019005330702;0,293547539189544
tumor_HNSCC28;0,0279373078157581;0,222093542095949
tumor_HNSCC20;0,0462379051350449;0,391480068997428
tumor_HNSCC17;0,0183827192442048;0,156190904183745
tumor_HNSCC16;0,0177850664734380;0,156815027212624
tumor_HNSCC6;0,0392385463762465;0,318723023589223
tumor_HNSCC5;0,0329682321156430;0,271174413529310
