group;aneuploidy_score;heterogeneity_score
tumor_38b;0,0395764869206953;0,342579066425110
stromal;0,0140915452249011;0,190946693433521
tumor_59;0,0461487330640923;0,449189154504581
tumor_74-1;0,0546408961111286;0,526823924911450
tumor_79;0,0381666585787503;0,353034409868184
